"Gene Name"	"Array data file names"	"Composite Element Ref"	"Antibody.validation.status"	"Antibody.Origin"	"Antibody.Source..Company."	"Catalog.Number"	"Protein.function.and.regulatory.pathways"
"HSPA1A"	"HSP70-R-C_GBL1114527.txt"	"HSP70-R-C"	"Use with Caution"	"Rabbit"	"CST"	"4872"	"A molecular chaperone expressed constitutively under normal conditions to maintain protein homeostasis and are induced upon environmental stress"
"IGFR1"	"IGF1R_pY1135_Y1136-R-V_GBL1114701.txt"	"IGF1R_pY1135_Y1136-R-V"	""	""	""	""	""
"IGFBP2"	"IGFBP2-R-V_GBL1114528.txt"	"IGFBP2-R-V"	"Validated"	"Rabbit"	"CST"	"3922"	"Insulin-like growth factor-binding proteins (IGFBPs), Tyrosine kinase receptor"
"INPP4B"	"INPP4B-R-V_GBL1114523.txt"	"INPP4B-R-V"	"Under Evaluation"	"Goat"	"Santa Cruz"	"SC-12318"	"The inositol polyphosphate 4-phosphatases catalyze the hydrolysis of phosphatidylinositol 3,4-bisphosphate, inositol 1,3,4-trisphosphate, and inositol 3,4-bisphosphate."
"IRF1"	"IRF-1-R-C_GBL1114708.txt"	"IRF-1-R-C"	""	""	""	""	""
"IRS1"	"IRS1-R-V_GBL1114576.txt"	"IRS1-R-V"	"Validated"	"Rabbit"	"Upstate (Millipore)"	"06-248"	"Insulin receptor substrate (IRS) molecules are key mediators in insulin signaling and play a central role in maintaining basic cellular functions such as growth, survival, and metabolism. Involves in PI3K pathway."
"COPS5"	"JAB1-M-C_GBL1114688.txt"	"JAB1-M-C"	"Use with Caution"	"Mouse"	"Santa Cruz"	"sc-13157"	"JAB1is the coactivator of Jun, (designated as Jun-activation domain-binding protein), interacts with c-Jun and Jun D, but not with Jun B or v-Jun. This interaction enhances the transactivating ability of Jun proteins by stabilizing their binding to the TRE."
"JAK2"	"Jak2-R-V_GBL1114706.txt"	"Jak2-R-V"	""	""	""	""	""
"MAPK9"	"JNK2-R-C_GBL1114529.txt"	"JNK2-R-C"	"Use with Caution"	"Rabbit"	"CST"	"4672"	"The stress-activated protein kinase, Belong to MAPK pathway (MKK4/7)"
"MAPK8"	"JNK_pT183_pY185-R-V_GBL1114586.txt"	"JNK_pT183_pY185-R-V"	"Validated"	"Rabbit"	"CST"	"4668"	"The stress-activated protein kinase, Belong to MAPK pathway (MKK4/7)"
"XRCC5"	"Ku80-R-C_GBL1114591.txt"	"Ku80-R-C"	"Under Evaluation"	"Rabbit"	"CST"	"2180"	"Functions as the DNA-binding regulatory component of DNA-dependent protein kinase (DNA-PK) involving in DNA repaire"
"LCK"	"Lck-R-V_GBL1114530.txt"	"Lck-R-V"	"Validated"	"Rabbit"	"CST"	"2752"	"A member of Src family of protein tyrosine kinases"
"STK11"	"LKB1-M-E_GBL1114654.txt"	"LKB1-M-E"	"Under Evaluation"	"Mouse"	"Abcam"	"ab15095"	"Essential role in G1 cell cycle arrest. Phosphorylates and activates members of the AMPK-related subfamily of protein kinases. Tumor suppressor."
"MAPK1 MAPK3"	"MAPK_pT202_Y204-R-V_GBL1114463.txt"	"MAPK_pT202_Y204-R-V"	"Validated"	"Rabbit"	"CST"	"4377"	"MAPK pathway (Mitogen-activated protein kinases), Regulates cell growth and differentiation"
"MAP2K1"	"MEK1-R-V_GBL1114531.txt"	"MEK1-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1235-1"	"MAPK pathway (Mitogen-activated protein kinases), Regulates cell growth and differentiation"
"MAP2K1"	"MEK1_pS217_S221-R-V_GBL1114609.txt"	"MEK1_pS217_S221-R-V"	"Validated"	"Rabbit"	"CST"	"9154"	"MAPK pathway (Mitogen-activated protein kinases), Regulates cell growth and differentiation"
"ERRFI1"	"MIG-6-M-V_GBL1114676.txt"	"MIG-6-M-V"	"Validated"	"Mouse"	"Sigma"	"WH0054206M1"	"ERRFI1 (MIG6) is a cytoplasmic protein whose expression is upregulated with cell growth "
"MRE11A"	"Mre11-R-C_GBL1114532.txt"	"Mre11-R-C"	"Use with Caution"	"Rabbit"	"CST"	"4847"	"A central part of a multisubunit nuclease composed of Mre11, Rad50 and Nbs1 (MRN), Plays a critical role in sensing, processing and repairing DNA double strand breaks"
"MSH2"	"MSH2-M-V_GBL1114666.txt"	"MSH2-M-V"	"Validated"	"Mouse"	"CST"	"2850"	"MSH2 (MutS homologue 2) forms the hMutS-_ dimer with MSH6 and is an essential component of the mismatch DNA repair process. "
"MSH6"	"MSH6-R-C_GBL1114606.txt"	"MSH6-R-C"	"Use with Caution"	"Rabbit"	"Novus Biologicals"	"22030002"	"MSH6 is a mismatch-repair protein. It forms the hMutS-_ dimer with MSH2 and is an essential component of the mismatch DNA repair process. It plays a role in tumor suppression."
"MTOR"	"mTOR-R-V_GBL1114533.txt"	"mTOR-R-V"	"Validated"	"Rabbit"	"CST"	"2983"	"The mammalian target of rapamycin (mTOR, FRAP, RAFT) is a Ser/Thr protein kinase, a major component of PI3K/AKT pathway"
"MTOR"	"mTOR_pS2448-R-C_GBL1114534.txt"	"mTOR_pS2448-R-C"	"Use with Caution"	"Rabbit"	"CST"	"2971"	"The mammalian target of rapamycin (mTOR, FRAP, RAFT) is a Ser/Thr protein kinase, a major component of PI3K/AKT pathway"
"MYH11"	"MYH11-R-V_GBL1114627.txt"	"MYH11-R-V"	"Validated"	"Rabbit"	"SDI / Novus"	"21370002"	"Myosin II forms bipolar filaments that interact with actin filaments to produce contraction."
"MYH9"	"Myosin-IIa_pS1943-R-V_GBL1114633.txt"	"Myosin-IIa_pS1943-R-V"	"Validated"	"Rabbit"	"CST"	"5026"	"Non muscle myosin is an actin-based motor protein essential to cell motility, cell division, migration, adhesion, and polarity"
"CDH2"	"N-Cadherin-R-V_GBL1114464.txt"	"N-Cadherin-R-V"	"Validated"	"Rabbit"	"CST"	"4061"	"A member of transmembrane glycoprotein superfamily, Mediate calcium-dependent cell-cell adhesion and normal tissue development. "
"NDRG1"	"NDRG1_pT346-R-V_GBL1114621.txt"	"NDRG1_pT346-R-V"	"Validated"	"Rabbit"	"CST"	"3217"	"A member of the NDRG family functions in growth, differentiation, and cell survival "
"NF2"	"NF2-R-C_GBL1114603.txt"	"NF2-R-C"	"Use with Caution"	"Rabbit"	"SDI"	"2271.00.02"	"Neurofibromin 2 (NF2) is a tumor suppressor gene encoding the protein Merlin to provide a link between the actin cytoskeleten and membrane associated proteins, playing a role in transduction of extracellular signals"
"NFKB1"	"NF-kB-p65_pS536-R-C_GBL1114535.txt"	"NF-kB-p65_pS536-R-C"	"Use with Caution"	"Rabbit"	"CST"	"3033"	"Transcription factors of the nuclear factor _ B (NF-_B)/Rel family play a pivotal role in inflammatory and immune responses "
"NOTCH1"	"Notch1-R-V_GBL1114607.txt"	"Notch1-R-V"	"Validated"	"Rabbit"	"CST"	"3268"	"A member of transmembrane receptor family that play important roles in development and the determination of cell fate "
"NRAS"	"N-Ras-M-V_GBL1114679.txt"	"N-Ras-M-V"	"Validated"	"Mouse"	"Santa Cruz"	"sc-31"	"The three Ras oncogenes, H-Ras, K-Ras and N-Ras, encode proteins with GTP/GDP binding and GTPase activity. Activates MAPK pathway."
"CDKN2A"	"p16_INK4a-R-V_GBL1114692.txt"	"p16_INK4a-R-V"	""	""	""	""	""
"CDKN1A"	"p21-R-V_GBL1114536.txt"	"p21-R-V"	"Validated"	"Rabbit"	"Santa Cruz"	"SC-397"	"p21 is a potent, tight-binding inhibitor of Cdks and can inhibit the phosphorylation of Rb by cyclin A-Cdk 2, cyclin E-Cdk2, cyclin D1-Cdk4 and cyclin D2-Cdk4 complexes. Involves in p53 pathway and induces cell cycle arrest."
"CDKN1B"	"p27-R-V_GBL1114589.txt"	"p27-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1591-1"	"Regulates cell cycle arrest at G1 phase"
"CDKN1B"	"p27_pT157-R-C_GBL1114581.txt"	"p27_pT157-R-C"	"Use with Caution"	"Rabbit"	"R&D"	"AF1555"	"Regulates cell cycle arrest at G1 phase"
"CDKN1B"	"p27_pT198-R-V_GBL1114583.txt"	"p27_pT198-R-V"	"Validated"	"Rabbit"	"Abcam"	"ab64949"	"Involved in cell cycle arrest at G1 phase."
"MAPK14"	"p38_MAPK-R-V_GBL1114537.txt"	"p38_MAPK-R-V"	"Validated"	"Rabbit"	"CST"	"9212"	" A member of MAPKs. MKK3, MKK6, and SEK phosphorylate and activate p38 MAPK"
"MAPK14"	"p38_pT180_Y182-R-V_GBL1114539.txt"	"p38_pT180_Y182-R-V"	"Validated"	"Rabbit"	"CST"	"9211"	" A member of MAPKs. MKK3, MKK6, and SEK phosphorylate and activate p38 MAPK"
"TP53"	"p53-R-E_GBL1114540.txt"	"p53-R-E"	"Under Evaluation"	"Rabbit"	"CST"	"9282"	"Tumor suppressor and Transcription Factor, Regulates cell cycle arrest and apoptosis and DNA repair "
"SQSTM1"	"p62-LCK-ligand-M-C_GBL1114682.txt"	"p62-LCK-ligand-M-C"	"Under Evaluation"	"Mouse"	"BD Transduction Lab"	"610833"	"p62 lck ligand (zeta-interacting protein (ZIP)) is a cytoplasmic protein that binds to the SH2 domain of lck. It interacts with PKC_.."
"RPS6KB1"	"p70S6K-R-V_GBL1114541.txt"	"p70S6K-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1494-1"	"Mitogen-activated Ser/Thr protein kinase, Involved in PI3K, MAPK and PKC pathways"
"RPS6KB1"	"p70S6K_pT389-R-V_GBL1114542.txt"	"p70S6K_pT389-R-V"	"Validated"	"Rabbit"	"CST"	"9205"	"Mitogen-activated Ser/Thr protein kinase, Involved in PI3K, MAPK and PKC pathways"
"RPS6KA1"	"p90RSK-R-C_GBL1114569.txt"	"p90RSK-R-C"	"Use with Caution"	"Rabbit"	"CST"	"9347"	"The 90 kDa ribosomal S6 kinases (RSK1-4) are a family of widely expressed Ser/Thr kinases involving in MAPK and PI3K signaling"
"RPS6KA1"	"p90RSK_pT359_S363-R-C_GBL1114571.txt"	"p90RSK_pT359_S363-R-C"	"Use with Caution"	"Rabbit"	"CST"	"9344"	"The 90 kDa ribosomal S6 kinases (RSK1-4) are a family of widely expressed Ser/Thr kinases involving in MAPK and PI3K signaling"
"SERPINE1"	"PAI-1-M-E_GBL1114655.txt"	"PAI-1-M-E"	"Under Evaluation"	"Mouse"	"BD Biosciences"	"612024"	"PAI-1 is a glycoprotein involves in tissue plasminogen activator (tPA) and urokinase PA (uPA) signaling"
"PARP1"	"PARP1-R-V_GBL1114639.txt"	"PARP1-R-V"	"Valid"	"Rabbit"	"Santa Cruz"	"sc-7150"	"Poly(ADP-ribose) polymerase-1 (PARP-1), also designated PARP, is a nuclear DNA-binding zinc finger protein that influences DNA repair, DNA replication, modulation of chromatin structure, and apoptosis. In response to genotoxic stress, PARP-1 catalyzes the transfer of ADP-ribose units from NAD(+) to a number of acceptor molecules including chromatin. PARP-1 recognizes DNA strand interruptions and can complex with RNA and negatively regulate transcription. Actinomycin D- and etoposide-dependent induction of caspases mediates cleavage of PARP-1 into a p89 fragment that traverses into the cytoplasm. Apoptosis-inducing factor (AIF) translocation from the mitochondria to the nucleus is PARP-1-dependent and is necessary for PARP-1-dependent cell death. PARP-1 deficiencies lead to chromosomal instability due to higher frequencies of chromosome fusions and aneuploidy, suggesting that poly(ADP-ribosyl)ation contributes to the efficient maintenance of genome integrity. PARP-2 is part of the base excision repair (BER) pathway, catalyzing the poly(ADP-ribosy)lation of nuclear proteins. PARP-2 is a nuclear, DNA-binding protein which interacts with PARP-1. PARP-2 is present in actively dividing tissues with highest levels in the kidney, skeletal muscle, liver, heart and spleen."
"PARP1"	"PARP_cleaved-M-E_GBL1114656.txt"	"PARP_cleaved-M-E"	"**Used for QC**"	"Mouse"	"CST"	"9546"	"PARP, a 116 kDa nuclear poly (ADP-ribose) polymerase, appears to be involved in DNA repair in response to environmental stress. This protein can be cleaved by many ICE-like caspases in vitro and is one of the main cleavage targets of caspase-3 in vivo. In human PARP, the cleavage occurs between Asp214 and Gly215, which separates the PARP amino-terminal DNA binding domain (24 kDa) from the carboxy-terminal catalytic domain (89 kDa). PARP helps cells to maintain their viability; cleavage of PARP facilitates cellular disassembly and serves as a marker of cells undergoing apoptosis."
"PXN"	"Paxillin-R-C_GBL1114543.txt"	"Paxillin-R-C"	"Use with Caution"	"Rabbit"	"Epitomics"	"1500-1"	"Involved in actin-membrane attachment, Regulates integrin signaling"
"CDH3"	"P-Cadherin-R-C_GBL1114691.txt"	"P-Cadherin-R-C"	"Under Evaluation"	"Rabbit"	"CST"	"2130"	"A member of transmembrane glycoprotein superfamily, Mediate calcium-dependent cell-cell adhesion and normal tissue development. "
"PCNA"	"PCNA-M-C_GBL1114657.txt"	"PCNA-M-C"	"Use with Caution"	"Mouse"	"Abcam"	"ab29"	"Involves in DNA repair"
"PDCD4"	"PDCD4-R-C_GBL1114579.txt"	"PDCD4-R-C"	"Use with Caution"	"Rabbit"	"Rockland"	"600-401-965"	"Pdcd4 directly inhibits the helicase activity of eukaryotic translation initiation factor 4A (eIF4A), a component of the translation initiation complex. Pdcd4 also suppresses the transactivation of activator protein-1 (AP-1)-responsive promoters by c-Jun. Pdcd4 contains two Akt phosphorylation sites, one at Ser67 and the other at Ser457. The phosphorylation of Pdcd4 by Akt causes nuclear translocation of Pdcd4 and a significant decrease in the ability of Pdcd4 to interfere with the transactivation of AP-1-responsive promoters by c-Jun."
"PDK1"	"PDK1-R-V_GBL1114544.txt"	"PDK1-R-V"	"Validated"	"Rabbit"	"CST"	"3062"	"Phosphoinositide-dependent protein kinase 1, involved in PI3K/AKT and PKC signaling"
"PDK1"	"PDK1_pS241-R-V_GBL1114545.txt"	"PDK1_pS241-R-V"	"Validated"	"Rabbit"	"CST"	"3061"	"Phosphoinositide-dependent protein kinase 1, involved in PI3K/AKT and PKC signaling"
"PEA15"	"PEA15-R-V_GBL1114600.txt"	"PEA15-R-V"	"Validated"	"Rabbit"	"CST"	"2780"	"Coordinate cell growth, death, and glucose utilization. Involved in MAPK  signaling"
"PEA15"	"PEA15_pS116-R-V_GBL1114601.txt"	"PEA15_pS116-R-V"	"Validated"	"Rabbit"	"Invitrogen"	"44-836G"	"Implicated in the regulation of multiple cellular processes including apoptosis, integrin activation, and insulin-sensitive glucose transport in insulin-responsive cells. Its activation mediated through binding to multiple proteins, including ERK1&2, RSK2, Akt, FADD, and Caspase-8."
"PIK3CA "	"PI3K-p110-alpha-R-C_GBL1114578.txt"	"PI3K-p110-alpha-R-C"	"Use with Caution"	"Rabbit"	"CST"	"4255"	"One of the of the catalytic subunit of PI3K"
"PIK3R1 PIK3R2"	"PI3K-p85-R-V_GBL1114546.txt"	"PI3K-p85-R-V"	"Validated"	"Rabbit"	"Upstate (Millipore)"	"06-195"	"PI3K p85 regulatory subunit"
"PRKCA "	"PKC-alpha-M-V_GBL1114658.txt"	"PKC-alpha-M-V"	"Validated"	"Mouse"	"Upstate (Millipore)"	"05-154"	"PKC alpha is an ubiquitously expressed PKC isozyme that has been implicated in the regulation of a broad range of cellular functions "
"PRKCA "	"PKC-alpha_pS657-R-C_GBL1114547.txt"	"PKC-alpha_pS657-R-C"	"Use with Caution"	"Rabbit"	"Upstate (Millipore)"	"06-822"	"PKC alpha is an ubiquitously expressed PKC isozyme that has been implicated in the regulation of a broad range of cellular functions "
"PRKCD"	"PKC-delta_pS664-R-V_GBL1114595.txt"	"PKC-delta_pS664-R-V"	"Validated"	"Rabbit"	"Millipore"	"07-875"	"PKC is activated by diacylglycerol which in turn phosphorylates a range of cellular proteins. PKC also serves as the receptor for phorbol esters, a class of tumor promoters."
"PRKCB"	"PKC-pan_BetaII_pS660-R-V_GBL1114625.txt"	"PKC-pan_BetaII_pS660-R-V"	"Validated"	"Rabbit"	"CST"	"9371"	"Activation of protein kinase C (PKC) is one of the earliest events in a cascade that controls a variety of cellular responses, including secretion, gene expression, proliferation, and muscle contraction"
"PGR"	"PR-R-V_GBL1114548.txt"	"PR-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1483-1"	"Progesterone receptor, Transcription Factor"
"AKT1S1"	"PRAS40_pT246-R-V_GBL1114567.txt"	"PRAS40_pT246-R-V"	"Validated"	"Rabbit"	"Biosource"	"441100G"	"PRAS40 is a 14-3-3 binding protein that reacts with insulin. PRAS40 is phosphorylated by AKT"
"PRDX1"	"PRDX1-R-V_GBL1114637.txt"	"PRDX1-R-V"	"Under Evaluation"	"Rabbit"	"Sigma/Atlas"	"HPA007730"	"A member of the peroxiredoxin family of antioxidant enzymes, which reduce hydrogen peroxide and alkyl hydroperoxides. "
"PREX1"	"PREX1-R-E_GBL1114636.txt"	"PREX1-R-E"	"Under Evaluation"	"Rabbit"	"Abcam"	"ab102739"	"Downstream of Heterotrimric G proteins (Guanine nucleotide exchange factor)"
"PTEN"	"PTEN-R-V_GBL1114550.txt"	"PTEN-R-V"	"Validated"	"Rabbit"	"CST"	"9552"	"A lipid and protein phosphatase, a tumor suppressor, Major negative regulator of PI3K/AKT signaling"
"RAB11A RAB11B"	"Rab11-R-E_GBL1114689.txt"	"Rab11-R-E"	"Under Evaluation"	"Rabbit"	"CST"	"3539"	"Rab11 family posseses small Ras-like GTPase activity. Rab11 family includes Rab11a, Rab11b and Rab25 "
"RAB25"	"Rab25-R-V_GBL1114630.txt"	"Rab25-R-V"	"Validated"	"Rabbit"	"CST"	"4314"	"A member of Rab11 family posseses small Ras-like GTPase activity.  Increased Rab25 expression is associated with aggressive growth in ovarian and breast cancer, where Rab25 may inhibit apoptosis and promote cancer cell proliferation and invasion through regulation of vesicle transport and cellular motility."
"RAD50"	"Rad50-M-V_GBL1114673.txt"	"Rad50-M-V"	"Validated"	"Mouse"	"Millipore"	"05-525"	"Involved in DNA double-strand break repair"
"RAD51"	"Rad51-R-V_GBL1114638.txt"	"Rad51-R-V"	"Under Evaluation"	"Mouse"	"Chem Biotech"	"na 71"	"Involved in DNA double-strand break repair"
"RPTOR"	"Raptor-R-V_GBL1114622.txt"	"Raptor-R-V"	"Validated"	"Rabbit"	"CST"	"2280"	"The regulatory associated protein of mTOR (Raptor) was identified as an mTOR binding partner that mediates mTOR signaling to downstream targets. Recently raptor has been identified as a direct substrate of the AMP-activated protein kinase (AMPK). "
"RB1"	"Rb-M-E_GBL1114659.txt"	"Rb-M-E"	"**Used for QC**"	"Mouse"	"CST"	"9309"	"The retinoblastoma tumor suppressor protein Rb regulates cell proliferation by controlling progression through the restriction point within the G1-phase of the cell cycle. Rb has three functionally distinct binding domains and interacts with critical regulatory proteins including the E2F family of transcription factors, c-Abl tyrosine kinase, and proteins with a conserved LXCXE motif (2-4). Cell cycle-dependent phosphorylation by a CDK inhibits Rb target binding and allows cell cycle progression. Rb inactivation and subsequent cell cycle progression likely requires an initial phosphorylation by cyclin D-CDK4/6 followed by cyclin E-CDK2 phosphorylation. Specificity of different CDK/cyclin complexes has been observed in vitro and cyclin D1 is required for Ser780 phosphorylation in vivo."
"RBM15"	"RBM15-R-V_GBL1114626.txt"	"RBM15-R-V"	"Validated"	"Rabbit"	"SDI / Novus"	"21390002"	"RBM15, have repressor function in several signaling pathways"
"RB1"	"Rb_pS807_S811-R-V_GBL1114549.txt"	"Rb_pS807_S811-R-V"	"Validated"	"Rabbit"	"CST"	"9308"	"The retinoblastoma tumor suppressor protein regulates cell proliferation by controlling progression through the restriction point within the G1-phase of the cell cycle"
"RICTOR"	"Rictor-R-C_GBL1114623.txt"	"Rictor-R-C"	"UsewithCaution"	"Rabbit"	"CST"	"2114"	"Rapamycin-insensitive companion of mTOR mediate rictor-mTOR signaling and phosphorylates Akt/PKB on Ser473 required for the full activation of AKT"
"RICTOR"	"Rictor_pT1135-R-V_GBL1114624.txt"	"Rictor_pT1135-R-V"	"Validated"	"Rabbit"	"CST"	"3806"	"Rapamycin-insensitive companion of mTOR mediate rictor-mTOR signaling and phosphorylates Akt/PKB on Ser473 required for the full activation of AKT"
"RPS6"	"S6-R-E_GBL1114552.txt"	"S6-R-E"	"Under Evaluation"	"Rabbit"	"CST"	"2217"	"Down stream of PI3K/AKT/mTOR/p70 S6 kinase, Involved in growth factors and mitogens induced protein translation"
"RPS6"	"S6_pS235_S236-R-V_GBL1114553.txt"	"S6_pS235_S236-R-V"	"Validated"	"Rabbit"	"CST"	"2211"	"Down stream of PI3K/AKT/mTOR/p70 S6 kinase, Involved in growth factors and mitogens induced protein translation"
"RPS6"	"S6_pS240_S244-R-V_GBL1114554.txt"	"S6_pS240_S244-R-V"	"Validated"	"Rabbit"	"CST"	"2215"	"Down stream of PI3K/AKT/mTOR/p70 S6 kinase, Involved in growth factors and mitogens induced protein translation"
"SCD"	"SCD-M-V_GBL1114677.txt"	"SCD-M-V"	"Validated"	"Mouse"	"Santa Cruz"	"sc-58420"	"Stearoyl-CoA desaturase (SCD) is a microsomal enzyme required for the synthesis of oleate and palmitoleate, which are the major monounsaturated fatty acids of membrane phospholipids, triglycerides and cholesterol esters."
"SETD2"	"SETD2-R-E_GBL1114602.txt"	"SETD2-R-E"	"**Used for QC**"	"Rabbit"	"Abcam"	"ab69836"	"SETD2 is a Histone methyltransferase that methylates 'Lys-36' of histone H3. H3 'Lys-36' methylation represents a specific tag for epigenetic transcriptional activation. Probably plays a role in chromatin structure modulation during elongation via its interaction with hyperphosphorylated POLR2A. Binds DNA at promoters. May also act as a transcription activator that binds to promoters. Binds to the promoters of adenovirus 12 E1A gene in case of infection, possibly leading to regulate its expression."
"SRSF1"	"SF2-M-V_GBL1114678.txt"	"SF2-M-V"	"Validated"	"Mouse"	"Invitrogen"	"32-4500"	"The SF proteins are essential splicing factors and also regulate alternative splicing of many pre-mRNAs."
"SHC1"	"Shc_pY317-R-E_GBL1114521.txt"	"Shc_pY317-R-E"	"Validated"	"Rabbit"	"CST"	"2431"	"Serves as a scaffold protein in signaling for a variety of receptor tyrosine kinases"
"PTPN11"	"SHP-2_pY542-R-C_GBL1114705.txt"	"SHP-2_pY542-R-C"	""	""	""	""	""
"DIABLO"	"Smac-M-E_GBL1114660.txt"	"Smac-M-E"	"**Used for QC**"	"Mouse"	"CST"	"2954"	"Smac/Diablo is a 21 kDa mammalian mitochondrial protein that functions as a regulatory component during apoptosis. Upon mitochondrial stress, Smac/Diablo is released from mitochondria and competes with caspases for binding of IAPs (inhibitor of apoptosis proteins). The interaction of Smac/Diablo with IAPs relieves the inhibitory effect of the IAPs on caspases. This interaction involves mainly the amino-terminal residues of Smac/Diablo with the BIR3 region of XIAP, supplemented with several other hydrophobic interactions between the helical structures of Smac/Diablo and other areas of BIR3."
